nbItems: 90
nbOrderSize: 3
nbOrders: 3000
nbShelves: 96

Orders: [
3 31 0
87 67 50
52 70 82
78 14 13
49 0 0
61 3 32
64 40 7
7 59 54
14 67 0
18 52 34
40 0 0
43 52 0
15 29 18
4 69 72
61 40 48
33 74 78
52 1 0
65 1 0
77 0 0
5 48 49
72 50 0
42 88 0
9 20 0
48 37 77
5 0 0
26 1 0
82 8 0
51 38 0
88 89 0
74 42 0
74 77 0
42 13 52
15 0 0
84 89 0
81 0 0
42 31 74
7 51 0
9 88 6
48 0 0
52 40 75
34 5 0
15 33 0
62 18 0
37 0 0
15 26 0
77 49 18
40 59 0
23 63 43
9 0 0
9 0 0
40 0 0
1 20 33
13 0 0
63 74 8
31 1 0
51 18 9
76 15 8
40 60 0
77 33 48
21 77 0
4 50 0
21 76 0
65 33 48
7 49 33
4 36 0
42 8 13
74 66 34
72 71 0
59 43 0
1 36 0
66 42 0
50 38 56
21 42 37
50 88 0
17 0 0
59 0 0
36 0 0
61 52 0
15 40 76
38 36 0
52 0 0
50 90 0
33 76 0
67 15 0
33 0 0
7 84 0
5 33 70
6 25 0
59 50 0
88 59 0
59 52 50
19 15 4
51 40 50
78 77 0
82 34 0
7 59 84
15 49 0
86 0 0
52 77 0
1 14 77
7 1 9
61 72 20
24 13 0
8 88 0
3 77 0
87 32 22
87 77 36
52 5 0
36 37 9
34 48 0
48 28 0
20 20 0
37 77 0
42 49 0
52 59 0
42 24 33
28 42 0
15 0 0
7 66 40
47 34 88
59 23 1
52 40 0
78 0 0
7 0 0
85 7 48
28 8 1
7 62 4
15 30 0
11 3 28
8 83 0
66 0 0
7 77 0
42 0 0
34 40 0
21 0 0
49 75 0
8 1 0
70 59 12
52 5 28
32 1 0
34 10 0
13 81 0
62 0 0
42 0 0
85 59 13
15 17 0
3 84 0
7 87 0
1 50 88
57 84 41
50 63 0
40 1 0
5 78 0
33 9 0
63 0 0
13 0 0
31 22 40
52 0 0
42 84 22
50 59 0
17 34 0
72 0 0
50 42 43
40 74 0
36 0 0
49 84 29
9 50 0
52 34 0
15 14 71
65 0 0
50 28 0
50 38 52
62 4 0
38 87 35
40 36 0
37 82 0
28 1 9
47 6 0
85 9 33
82 0 0
84 59 40
33 82 0
50 26 49
48 0 0
42 38 48
52 38 33
14 82 0
15 23 20
66 48 86
33 4 0
52 38 62
80 74 30
28 20 0
1 78 59
24 57 8
85 27 0
28 0 0
42 77 88
18 90 0
54 26 0
83 1 7
13 42 47
89 0 0
34 29 11
12 0 0
33 59 0
20 9 0
62 0 0
82 90 0
48 52 47
78 1 0
33 10 37
52 0 0
1 42 0
34 37 14
9 21 14
42 22 0
40 1 9
18 52 0
52 9 0
90 23 0
4 23 0
84 47 43
63 0 0
50 59 18
36 25 0
84 0 0
64 88 7
50 52 18
42 88 1
40 50 0
40 82 20
29 4 0
48 75 62
40 0 0
40 0 0
24 48 69
42 90 54
37 0 0
47 21 29
74 0 0
64 84 78
82 76 0
88 0 0
40 84 90
14 82 0
33 82 0
3 63 0
14 15 0
10 66 0
8 66 18
33 9 1
82 33 0
22 0 0
40 30 28
15 0 0
40 41 0
27 70 0
59 14 28
56 0 0
32 9 13
59 88 74
33 0 0
50 76 0
72 76 0
40 57 0
15 13 90
5 89 0
18 0 0
77 30 0
29 59 0
52 59 8
59 6 0
78 58 0
37 52 0
85 64 0
77 31 29
42 0 0
42 49 0
28 0 0
21 0 0
59 0 0
64 66 0
60 0 0
4 25 52
47 59 85
35 77 5
70 30 64
5 0 0
49 46 0
69 0 0
33 42 85
9 33 10
49 43 0
30 27 0
48 69 0
34 57 0
81 8 0
8 0 0
52 9 0
58 7 40
36 80 0
42 53 0
18 42 0
42 47 9
77 9 14
36 42 74
85 63 48
48 40 0
33 0 0
6 50 0
48 15 51
30 34 0
52 37 0
15 22 66
7 4 32
7 42 72
20 50 7
3 0 0
84 38 0
86 70 0
38 73 18
84 0 0
28 82 63
32 18 1
90 0 0
36 52 0
60 61 0
23 10 0
21 44 86
35 7 24
30 48 0
51 78 14
69 0 0
6 3 0
52 28 37
48 31 22
78 0 0
50 0 0
36 87 0
26 78 33
82 49 0
32 28 0
31 52 10
65 25 0
28 0 0
34 29 20
20 33 0
6 69 20
15 22 6
63 18 0
51 0 0
7 66 1
10 48 0
15 54 0
21 36 0
50 0 0
20 43 0
14 0 0
38 22 23
50 61 0
33 84 63
30 66 18
65 63 0
29 43 40
40 7 0
27 0 0
11 42 0
50 37 74
20 15 0
9 74 0
5 76 88
42 0 0
37 26 0
29 88 90
5 36 43
28 22 32
64 15 0
1 40 24
36 78 0
1 0 0
75 33 0
42 72 0
84 10 0
87 72 0
50 30 0
63 76 38
40 0 0
3 76 0
38 42 64
76 8 42
90 59 55
50 37 0
10 32 0
18 17 0
58 15 0
40 74 0
76 0 0
81 63 20
6 82 77
59 54 0
43 89 9
78 1 77
37 20 0
1 56 52
43 59 0
20 11 0
12 43 6
84 11 0
40 77 0
29 3 0
21 33 0
81 0 0
75 0 0
59 9 38
34 50 0
84 48 0
50 55 0
22 42 0
10 51 0
42 5 0
1 15 18
37 42 0
1 57 0
10 88 0
87 36 0
21 40 0
84 15 0
5 17 22
3 82 0
31 52 0
88 0 0
1 36 0
78 77 70
38 20 0
52 15 18
9 90 72
52 49 0
49 37 42
30 21 75
82 33 0
33 0 0
42 18 0
87 15 50
77 36 29
25 33 0
65 28 0
82 22 49
7 42 87
15 0 0
76 47 38
42 75 0
7 0 0
61 14 0
15 30 0
18 1 0
52 40 36
33 42 7
47 0 0
49 42 0
36 0 0
38 13 0
40 34 0
90 18 0
29 25 22
52 22 0
50 58 37
2 0 0
42 15 0
52 28 0
20 0 0
7 5 0
23 51 0
22 76 80
39 50 0
52 21 40
52 1 0
42 0 0
70 28 0
7 58 64
5 86 50
40 1 0
64 84 0
13 0 0
84 0 0
25 21 0
21 15 0
72 42 52
10 74 0
36 4 0
3 80 0
14 76 0
20 42 0
69 78 0
60 0 0
81 20 0
34 10 0
38 0 0
34 65 0
7 16 0
70 1 0
78 48 0
11 59 0
59 5 0
42 15 0
15 57 0
29 76 48
15 52 34
1 33 59
4 82 83
47 36 82
88 8 0
59 0 0
12 13 0
52 18 42
32 42 0
40 84 5
77 47 0
14 0 0
77 55 70
64 37 0
4 52 0
5 49 13
59 33 0
18 84 7
8 77 63
7 50 0
59 40 0
81 0 0
7 28 50
88 0 0
63 58 0
20 36 0
49 38 32
74 83 0
41 59 0
20 4 21
34 23 8
40 70 0
88 34 9
64 0 0
9 51 50
20 0 0
29 81 42
70 49 31
4 0 0
9 0 0
59 63 52
49 0 0
61 63 0
22 0 0
82 0 0
66 86 0
70 42 0
59 63 52
14 25 34
61 49 0
3 4 9
77 20 78
66 0 0
61 6 36
66 42 0
78 1 0
34 8 0
59 77 0
88 28 0
1 9 0
20 0 0
4 86 60
38 43 0
59 1 61
30 11 0
20 49 0
69 50 0
34 49 4
42 0 0
1 33 0
26 74 0
15 71 70
59 0 0
85 63 0
52 49 0
26 3 10
38 14 0
29 15 0
72 0 0
75 33 9
37 0 0
82 42 9
38 0 0
82 43 0
74 22 5
50 29 0
20 34 52
4 42 0
3 42 59
40 61 0
84 85 50
84 40 0
47 0 0
28 0 0
74 42 34
52 4 0
42 72 76
66 63 0
18 74 0
75 18 0
52 82 0
33 4 0
38 0 0
59 84 18
21 22 15
34 7 10
77 32 30
72 82 0
4 59 88
30 0 0
36 80 0
38 4 24
38 0 0
33 28 0
48 6 31
89 32 0
40 42 76
42 85 84
59 15 1
82 41 0
20 64 0
36 64 21
67 38 0
8 75 0
47 0 0
77 13 0
82 52 0
7 14 37
43 70 22
42 20 0
74 0 0
76 49 0
87 34 77
3 28 33
7 10 9
82 63 74
59 85 52
14 76 0
57 25 0
59 69 0
22 20 0
22 59 0
74 9 59
12 59 0
3 78 20
43 69 0
80 77 0
50 29 4
36 9 15
72 1 0
4 64 28
51 9 77
80 28 0
36 0 0
52 0 0
9 88 28
43 1 74
34 0 0
42 9 72
77 74 51
29 90 49
58 88 0
47 0 0
36 1 0
88 48 29
61 15 26
29 56 0
64 52 7
52 31 0
67 33 0
23 77 0
88 0 0
88 59 48
43 42 34
13 76 0
1 48 0
69 3 33
52 34 0
49 28 0
61 82 0
88 1 0
82 34 52
72 42 1
90 0 0
70 59 52
42 33 59
86 65 0
77 90 80
42 84 0
78 48 42
42 59 0
1 61 36
52 35 90
36 7 0
44 0 0
32 0 0
27 63 0
32 7 0
29 0 0
65 0 0
7 0 0
29 0 0
64 28 0
15 83 0
48 17 15
29 77 59
42 5 4
37 47 1
54 61 84
52 0 0
36 0 0
22 40 78
52 87 0
54 66 35
32 28 0
72 42 0
15 34 0
20 34 0
59 36 51
15 3 47
4 37 0
36 42 0
6 72 23
40 7 0
33 20 0
40 86 64
11 42 59
7 9 0
43 0 0
59 33 0
7 52 42
15 64 0
29 7 80
59 33 0
38 15 77
78 88 0
66 69 0
1 42 0
21 0 0
1 33 0
7 42 78
37 43 0
49 84 0
10 0 0
1 13 0
81 88 21
87 59 0
84 20 52
50 49 77
50 0 0
43 77 37
1 36 0
47 59 0
52 26 22
52 1 0
10 0 0
60 0 0
49 20 37
37 64 88
59 0 0
74 9 15
61 35 0
36 40 76
59 4 40
74 85 78
84 13 0
15 37 0
35 28 7
20 59 8
35 88 0
78 90 0
34 8 0
84 33 15
38 8 31
77 17 0
3 34 1
30 5 83
49 0 0
59 5 63
88 0 0
28 5 49
86 88 0
7 31 40
78 38 0
83 0 0
1 0 0
5 15 0
9 14 33
38 59 74
9 86 55
43 84 0
36 52 14
82 33 0
74 77 48
63 1 0
6 49 33
29 20 21
11 9 0
48 42 0
63 0 0
13 10 0
8 84 0
1 17 52
36 0 0
87 25 77
5 74 0
24 48 52
77 40 15
32 37 0
50 49 0
42 21 64
46 61 0
85 0 0
67 22 90
29 70 61
59 0 0
6 0 0
52 37 62
29 77 9
61 0 0
48 42 50
61 54 0
77 9 40
82 17 0
72 38 0
20 0 0
7 48 0
40 58 1
59 48 0
48 89 15
33 52 0
9 61 0
66 1 70
85 38 0
60 28 4
77 0 0
50 1 0
88 52 40
15 34 50
52 75 40
44 1 0
88 3 15
37 21 0
52 42 59
8 15 0
85 52 3
9 27 55
52 15 0
36 65 8
36 64 0
37 34 0
4 0 0
7 14 0
50 52 9
59 88 0
11 7 20
7 59 0
88 34 0
37 71 0
86 74 0
26 72 89
61 0 0
17 59 0
14 25 15
7 21 15
25 86 33
20 0 0
66 35 26
36 52 0
14 77 59
13 0 0
7 0 0
9 0 0
90 50 22
21 63 0
31 0 0
59 64 0
